SMILES,MW,ClogP,ClogS,TPSA,HBA,HBD,Rotatable Bonds
OC([C@H](C[C@H]1[C@H]2CCCC1)N2C(CC1CCSCC1)=O)=O,311.44700000000006,2.764000000000001,83.29880000000004,57.61,3,1,3
OC([C@H](C[C@@H]1[C@H]2CCCC1)N2C(CC1CCSCC1)=O)=O,311.44700000000006,2.764000000000001,83.29880000000004,57.61,3,1,3
CSCCC(N1C[C@H](Cc(cc2)ccc2C(O)=O)CC1)=O,307.41500000000013,2.528900000000001,84.79130000000005,57.61,3,1,6
CSCCC(N1C[C@@H](Cc(cc2)ccc2C(O)=O)CC1)=O,307.41500000000013,2.528900000000001,84.79130000000005,57.61,3,1,6
CC(C)Cn1ncc(C(Nc2cccc(C(O)=O)c2)=O)c1C,301.34600000000006,2.798020000000001,83.15650000000004,84.22,4,2,5
C[C@@H](CN(C)C(c1cc(OC2CCCCC2)ncc1)=O)C(O)=O,320.389,2.5858,85.49830000000006,79.72999999999999,4,1,6
C[C@H](CN(C)C(c1cc(OC2CCCCC2)ncc1)=O)C(O)=O,320.389,2.5858,85.49830000000006,79.72999999999999,4,1,6
C[C@H](c1ccco1)N(C1CC1)C(c1cccc(C(O)=O)n1)=O,300.314,2.738600000000001,77.51080000000003,83.63999999999999,4,1,5
C[C@@H](c1ccco1)N(C1CC1)C(c1cccc(C(O)=O)n1)=O,300.314,2.738600000000001,77.51080000000003,83.63999999999999,4,1,5
CC(C)[C@@H](C(O)=O)NC(Nc1c(C(F)(F)F)cccc1)=O,304.268,2.9361000000000006,69.86020000000002,78.43,2,3,4
COc1ccc([C@H](CC2)CN2C(c2ccc(C(O)=O)o2)=O)cc1,315.32500000000005,2.6161000000000003,81.92280000000004,79.98,4,1,4
OC(c(cc1)ncc1C(N[C@H](CC1)CC[C@H]1C(F)(F)F)=O)=O,316.279,2.630700000000001,70.46350000000001,79.29,3,2,3
OC([C@@H](CCC1)N1C(c1cc(Oc2ccncc2)ccc1)=O)=O,312.3250000000001,2.5631000000000004,82.44730000000006,79.73,4,1,4
OC(c(cc1)ncc1C(N[C@H](CCC1)C[C@@H]1C(F)(F)F)=O)=O,316.279,2.630700000000001,70.46350000000001,79.29,3,2,3
OC(c(cc1)ncc1C(N[C@H](CCC1)C[C@H]1C(F)(F)F)=O)=O,316.279,2.630700000000001,70.46350000000001,79.29,3,2,3
OC([C@H](CCC1)N1C(c1cc(Oc2ccncc2)ccc1)=O)=O,312.3250000000001,2.5631000000000004,82.44730000000006,79.73,4,1,4
OC(c(cc1)ncc1C(N[C@@H](CCC1)C[C@@H]1C(F)(F)F)=O)=O,316.279,2.630700000000001,70.46350000000001,79.29,3,2,3
CC(C)c1ccc([C@@H](C)NC(c(n(C)nc2)c2C(O)=O)=O)cc1,315.373,2.7327000000000004,86.57950000000004,84.22,4,2,5
OC(c(cc1)ncc1C(N[C@@H](CCC1)C[C@H]1C(F)(F)F)=O)=O,316.279,2.630700000000001,70.46350000000001,79.29,3,2,3
CC(C)c1ccc([C@H](C)NC(c(n(C)nc2)c2C(O)=O)=O)cc1,315.373,2.7327000000000004,86.57950000000004,84.22,4,2,5
CC(C)N(Cc1cccs1)C(c1cc(C(O)=O)ncc1)=O,304.371,2.892100000000001,80.52480000000004,70.5,4,1,5
C[C@@](CC1)(CN1C(c(cc1)cc(CSC)c1F)=O)C(O)=O,311.37800000000004,2.6255000000000006,79.88230000000003,57.61000000000001,3,1,4
C[C@](CC1)(CN1C(c(cc1)cc(CSC)c1F)=O)C(O)=O,311.37800000000004,2.6255000000000006,79.88230000000003,57.61000000000001,3,1,4
